lemma	POS	freq	declension
и	CONJ	3827	
в	PR	2031	
не	PART	1793	
на	PR	1723	
я	SPRO	1642	
а	CONJ	1502	
он	SPRO	1403	
быть	V	920	
она	SPRO	851	
ты	SPRO	837	
с	PR	771	
что	CONJ	704	
у	PR	602	
они	SPRO	570	
по	PR	495	
к	PR	487	
весь	APRO	469	
за	PR	467	
как	CONJ	424	
мы	SPRO	401	
сказать	V	401	
да	CONJ	393	
из	PR	365	
вот	PART	362	
говорить	V	359	
становиться	V	350	
свой	APRO	336	
но	CONJ	331	
все	SPRO	328	
так	ADVPRO	326	
это	SPRO	302	
только	PART	291	
мой	APRO	278	
от	PR	273	
идти	V	270	
же	PART	251	
кто	SPRO	249	
этот	APRO	249	
что	SPRO	227	
пойти	V	225	
как	ADVPRO	221	
лес	S	215	2
под	PR	211	
один	APRO	211	
вы	SPRO	203	
мама	S	194	1
очень	ADV	193	
тот	APRO	192	
жить	V	191	
заяц	S	185	2
еще	ADV	183	
такой	APRO	179	
волк	S	178	2
давать	V	176	
тут	ADVPRO	175	
бы	PART	175	
себя	SPRO	174	
сидеть	V	174	
когда	CONJ	173	
который	APRO	169	
где	ADVPRO	166	
вода	S	162	1
большой	A	160	
медведь	S	160	2
сам	APRO	160	
спрашивать	V	159	
видеть	V	157	
спать	V	156	
дерево	S	152	2
до	PR	150	
день	S	148	2
кошкин	S	148	2
бежать	V	147	
мочь	V	147	
человек	S	146	2
иван	S	146	2
его	APRO	145	
самый	APRO	141	
земля	S	141	1
алый	A	141	
какой	APRO	139	
маленький	A	138	
рука	S	138	1
приходить	V	138	
знать	V	136	
другой	APRO	134	
дом	S	134	2
это	PART	134	
царевич	S	134	2
хотеть	V	133	
отвечать	V	130	
то	SPRO	126	
то	PART	126	
любить	V	126	
ну	PART	126	
снег	S	124	2
нога	S	123	1
глаз	S	123	2
голова	S	123	1
лиса	S	122	1
садиться	V	121	
чтобы	CONJ	121	
серый	A	120	
думать	V	120	
взять	V	119	
стоять	V	119	
король	S	118	2
девочка	S	117	1
теперь	ADV	117	
там	ADVPRO	116	
потом	ADVPRO	116	
хорошо	ADV	115	
лежать	V	114	
два	NUM	113	
вдруг	ADV	113	
белый	A	112	
увидеть	V	112	
ли	PART	111	
раз	S	110	2
смотреть	V	110	
о	PR	108	
бабушка	S	108	1
то	CONJ	107	
сказка	S	105	1
если	CONJ	105	
уходить	V	105	
выходить	V	104	
скоро	ADV	103	
много	ADV	103	
нет	PART	103	
ночь	S	103	3
нос	S	101	2
друг	S	101	2
наш	APRO	100	
без	PR	100	
плакать	V	100	
через	PR	99	
домой	ADV	98	
ходить	V	97	
время	S	96	Р
со	PR	93	
для	PR	92	
опять	ADV	92	
ничто	SPRO	90	
уж	PART	88	
во	PR	88	
потому	ADVPRO	88	
бояться	V	86	
дело	S	86	2
три	NUM	86	
зима	S	85	1
папа	S	85	1
делать	V	85	
даже	PART	84	
никто	SPRO	84	
есть	V	83	
уже	ADV	83	
совсем	ADV	83	
ни	CONJ	82	
находить	V	81	
зверь	S	81	2
над	PR	81	
сейчас	ADV	80	
каждый	APRO	79	
дорога	S	77	1
окно	S	77	2
лягушка	S	77	1
тогда	ADVPRO	77	
царь	S	77	2
съедать	V	75	
птица	S	75	1
море	S	75	2
сад	S	74	2
сделать	V	74	
твой	APRO	74	
надо	ADV	73	
ни	PART	73	
зеленый	A	73	
или	CONJ	73	
марьюшка	S	73	1
красный	A	72	
река	S	72	1
золотой	A	72	
лететь	V	71	
небо	S	71	2
ежик	S	71	2
избушка	S	71	1
утро	S	70	2
почему	ADVPRO	70	
добрый	A	70	
железный	A	70	
глядеть	V	69	
собака	S	69	1
солнце	S	69	2
долго	ADV	69	
приносить	V	69	
тоже	PART	68	
